country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode,SCORE-M,SCORE_MIN,SCORE_MAX,z_cs_new
USA,0,1,02,0,2.122770071,0,,,203,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,226,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,65,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,192,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,203,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,134,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,218,15,24,30,2.08574739
USA,1,1,03,0,2.122770071,0,,,30,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,120,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,190,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,102,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,57,15,24,30,2.08574739
USA,1,1,01,0,2.122770071,0,,,13,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,181,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,116,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,98,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,1,,,200,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,202,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,215,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,140,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,33,15,24,30,2.08574739
USA,0,1,01,0,2.122770071,0,,,90,15,24,30,2.08574739
India,1,1,,0,2.122770071,0,,,282,15,24,30,2.08574739
China,,43.49999619,,0,2.122770071,,0,,254,15,24,30,2.08574739
USA,0,1,01,0,1.97980082,0,,,54,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,149,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,167,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,104,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,,,,11,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,54,14,23,29,1.935664711
USA,1,1,02,0,1.97980082,0,,,30,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,1,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,114,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,113,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,113,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,114,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,226,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,68,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,1,,,114,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,34,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,231,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,33,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,1,,,116,14,23,29,1.935664711
USA,1,1,03,0,1.97980082,0,,,13,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,200,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,34,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,90,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,226,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,47,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,1,,,175,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,62,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,109,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,28,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,49,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,165,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,102,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,193,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,,,,74,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,171,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,200,14,23,29,1.935664711
USA,1,1,00,0,1.97980082,0,,,70,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,102,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,26,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,193,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,,,,155,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,13,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,203,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,1,,,11,14,23,29,1.935664711
USA,1,1,01,0,1.97980082,0,,,226,14,23,29,1.935664711
USA,0,1,03,0,1.97980082,1,,,11,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,49,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,1,,,104,14,23,29,1.935664711
USA,0,1,00,0,1.97980082,0,,,202,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,11,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,90,14,23,29,1.935664711
USA,0,1,02,0,1.97980082,0,,,49,14,23,29,1.935664711
USA,0,1,01,0,1.97980082,0,,,119,14,23,29,1.935664711
Russia,1,56.57142639,,0,1.97980082,0,,0,314,14,23,29,1.935664711
India,1,1,,0,1.97980082,0,,,277,14,23,29,1.935664711
India,1,1,,0,1.97980082,0,,,282,14,23,29,1.935664711
China,,41.33333588,,0,1.97980082,,0,,236,14,23,29,1.935664711
China,0,77.33332825,,0,1.97980082,0,0,,251,14,23,29,1.935664711
USA,0,1,01,0,1.836831689,0,,,131,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,142,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,91,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,214,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,37,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,1,,,200,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,62,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,87,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,113,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,62,13,22,28,1.785582157
USA,1,1,03,0,1.836831689,0,,,30,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,120,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,1,,,90,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,166,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,227,13,22,28,1.785582157
USA,1,1,02,0,1.836831689,0,,,70,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,,,,119,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,119,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,113,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,34,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,1,,,203,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,11,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,20,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,57,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,98,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,42,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,202,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,98,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,62,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,110,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,82,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,82,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,114,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,161,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,1,,,85,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,227,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,49,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,54,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,149,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,102,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,200,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,98,13,22,28,1.785582157
USA,1,1,02,0,1.836831689,0,,,13,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,59,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,119,13,22,28,1.785582157
USA,1,1,02,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,0,1,01,0,1.836831689,0,,,167,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,68,13,22,28,1.785582157
USA,1,1,01,0,1.836831689,0,,,226,13,22,28,1.785582157
